tile_id,zone,row,col,tile_area_m2,street_len_m,bldg_area_m2,bldg_count,street_km_per_km2,bldg_coverage
west_01_04,west,4,1,250000.0,5597.6934795791285,27069.632595190797,21,22.390773918316516,0.10827853038076318
west_01_05,west,5,1,250000.0,5827.32004053514,7636.845856841239,9,23.30928016214056,0.030547383427364957
west_01_06,west,6,1,250000.0,6486.047050311494,7846.656353127548,11,25.944188201245975,0.031386625412510194
west_01_07,west,7,1,250000.0,7392.456691701414,42174.181079659524,31,29.569826766805654,0.1686967243186381
west_01_08,west,8,1,250000.0,8879.204306878386,36941.46480423813,36,35.51681722751354,0.1477658592169525
west_01_09,west,9,1,250000.0,11730.004242437735,75399.50932124666,34,46.92001696975094,0.30159803728498663
west_01_10,west,10,1,250000.0,8914.996796715199,73685.9394412332,43,35.659987186860796,0.29474375776493283
west_01_11,west,11,1,250000.0,4750.630423524984,30172.6049746974,34,19.002521694099933,0.12069041989878959
west_01_12,west,12,1,250000.0,5685.1475458149225,44687.55296986114,177,22.74059018325969,0.17875021187944456
west_01_13,west,13,1,250000.0,3380.6752607889516,20839.562100901647,152,13.522701043155806,0.08335824840360659
west_01_14,west,14,1,250000.0,2790.2772286390773,17276.28297988518,88,11.161108914556308,0.06910513191954072
west_01_15,west,15,1,250000.0,4534.135597561522,4297.538633666196,4,18.13654239024609,0.017190154534664784
west_01_16,west,16,1,250000.0,4085.6313692612925,24158.43692221576,24,16.34252547704517,0.09663374768886303
west_01_17,west,17,1,157295.70579202846,1582.4348316287728,29011.442811836838,15,10.060254497481449,0.18443887368543216
west_02_00,west,0,2,122741.99147336185,3474.355417169983,6978.53333166148,9,28.30616788488402,0.056855304756693634
west_02_01,west,1,2,250000.0,3690.634981210337,15273.026081421842,20,14.762539924841349,0.06109210432568737
west_02_02,west,2,2,250000.0,4266.4098983665635,50787.255068616534,60,17.065639593466255,0.20314902027446613
west_02_03,west,3,2,250000.0,4754.915527521669,45025.03024549204,33,19.019662110086674,0.18010012098196815
west_02_04,west,4,2,250000.0,4767.807921830889,24330.615378041268,12,19.071231687323557,0.09732246151216507
west_02_05,west,5,2,250000.0,5210.86586017609,29990.20652087667,17,20.843463440704358,0.11996082608350668
west_02_06,west,6,2,250000.0,2829.224701026787,50379.04805593238,21,11.316898804107147,0.20151619222372952
