p,Db,Db_r2,lam4,lam8,lam16,lam32,lam64,zone,rep,row,col
0.30778,1.62451,0.99681,2.42896,1.91377,1.42888,1.15849,1.04269,west,footprints,9,2
0.24502,1.60449,0.99712,2.67206,2.01119,1.51211,1.27928,1.08668,west,footprints,10,0
0.2385,1.52953,0.9999,3.40765,2.88535,2.34004,1.8229,1.31583,west,footprints,10,1
0.22634,1.52282,0.99795,3.37552,2.59146,1.83536,1.30218,1.06048,west,footprints,10,2
0.26232,1.63764,0.99524,2.29059,1.69068,1.30516,1.10494,1.04731,west,footprints,11,0
0.24834,1.53936,0.99905,3.177,2.5895,1.86326,1.28066,1.05266,west,footprints,11,1
0.31806,1.7105,0.99592,1.91261,1.48019,1.21214,1.06135,1.01702,west,footprints,11,2
0.24746,1.60259,0.99698,2.89123,2.26147,1.67951,1.32672,1.14356,west,footprints,12,0
0.21234,1.50292,0.9988,3.53876,2.87555,2.19207,1.56931,1.17669,west,footprints,12,1
0.1955,1.55416,0.99802,3.50676,2.7619,2.18639,1.72894,1.27741,west,footprints,12,2
0.26096,1.6066,0.99606,2.58499,1.94131,1.43422,1.19666,1.0719,west,footprints,13,0
0.18928,1.47597,0.99988,3.95098,3.06184,2.10097,1.41162,1.11037,west,footprints,13,1
0.21642,1.49958,0.99912,3.69594,2.96191,2.12528,1.54357,1.21471,west,footprints,13,2
0.3247,1.61978,0.99776,2.47567,1.93293,1.36176,1.14326,1.04416,west,footprints,14,0
0.29778,1.60788,0.99778,2.58796,2.03708,1.53169,1.20845,1.03406,west,footprints,14,1
0.30254,1.61839,0.99755,2.49103,1.91951,1.36217,1.11241,1.04521,west,footprints,14,2
0.30077,1.60246,0.9973,2.58786,2.02536,1.44152,1.10943,1.03566,west,footprints,15,0
0.19086,1.48237,0.99913,3.88979,2.89185,1.97821,1.52835,1.17259,west,footprints,15,1
0.06485,1.27878,0.99646,12.31914,9.90114,6.95356,4.14458,2.70716,west,footprints,15,2
0.06464,1.25418,0.99905,9.81957,6.74219,4.0268,2.16324,1.30087,center,streets,0,0
0.09642,1.29495,0.99905,6.05742,4.09365,2.61887,1.64685,1.1879,center,streets,0,1
0.0613,1.19731,0.99934,7.21443,4.03832,2.31961,1.37453,1.14253,center,streets,0,2
0.08214,1.29226,0.99813,6.62604,3.96169,2.24537,1.45501,1.18315,center,streets,1,0
0.14848,1.4044,0.99942,4.49,3.14142,2.00914,1.38487,1.09904,center,streets,1,1
0.08637,1.30195,0.99901,7.02086,4.84653,2.79632,1.64811,1.23323,center,streets,1,2
0.11746,1.42356,0.99949,6.14919,4.77662,3.41953,2.195,1.37807,center,streets,2,0
0.13534,1.42349,0.99887,5.67171,4.54189,3.28706,2.11581,1.3717,center,streets,2,1
0.13952,1.39452,0.99965,5.03111,3.86193,2.92363,1.99526,1.48182,center,streets,2,2
0.02458,1.2772,0.99866,18.54987,10.91166,7.41903,5.79632,4.87946,center,streets,3,0
0.09042,1.34574,0.99972,7.04274,4.97883,3.11688,1.85335,1.22243,center,streets,3,1
0.09872,1.28951,0.99876,5.20973,3.26088,1.99382,1.31566,1.09024,center,streets,3,2
0.06941,1.2778,0.99947,7.61973,4.98937,3.17306,1.93329,1.35759,center,streets,4,0
0.16486,1.45629,0.99896,4.07726,3.12532,2.34741,1.63877,1.1944,center,streets,4,1
0.17555,1.43495,0.99921,4.32968,3.39322,2.50595,1.76711,1.30143,center,streets,4,2
0.06998,1.41042,0.9991,10.57907,8.14732,5.65105,3.62629,2.40921,center,streets,5,0
0.1109,1.34203,0.99836,4.27489,2.76816,1.90659,1.42782,1.24336,center,streets,5,1
0.08267,1.27475,0.99953,7.08418,4.57504,2.76697,1.8003,1.3544,center,streets,5,2
0.05685,1.32176,0.99879,12.09146,7.98743,4.64454,2.77526,2.12067,center,streets,6,0
0.11378,1.35195,0.99612,4.11568,2.60362,1.73541,1.28129,1.1392,center,streets,6,1
0.11491,1.35761,0.9988,5.26276,3.64715,2.4101,1.61609,1.19162,center,streets,6,2
0.07926,1.32769,0.99905,7.60266,4.91225,2.97836,2.02339,1.55107,center,streets,7,0
0.10115,1.33102,0.99831,4.7107,2.88188,1.94282,1.49793,1.25995,center,streets,7,1
0.14326,1.45342,0.99991,3.94752,2.94174,2.14273,1.57118,1.19465,center,streets,7,2
0.13802,1.49256,0.99987,5.00519,3.87028,2.80236,2.06026,1.50028,center,streets,8,0
0.21616,1.5805,0.99893,3.12163,2.54903,2.16473,1.82321,1.36156,center,streets,8,1
0.18922,1.52052,0.99947,3.66297,2.92078,2.38549,1.90079,1.46692,center,streets,8,2
0.15869,1.47033,0.99988,4.70982,3.64125,2.51138,1.68861,1.20522,center,streets,9,0
0.17054,1.51909,0.99897,3.78846,2.87797,2.09913,1.59794,1.20853,center,streets,9,1
0.14168,1.48096,0.99982,4.8291,3.87689,3.11786,2.35654,1.74625,center,streets,9,2
0.13933,1.38872,0.99949,5.03625,4.02227,3.07522,1.94712,1.41086,center,streets,10,0
0.20946,1.48961,0.99899,3.60092,2.96649,2.37699,1.64412,1.24928,center,streets,10,1
0.15261,1.42475,0.99945,4.73536,3.71958,2.69305,1.76155,1.3262,center,streets,10,2
